الشركة,رقم الاتفاقية/العقد:,تاريخ التوقيع:,تاريح البداية:,تاريخ النهايةا العقد:,الولاية:,المحلية:,المنطقة:,رقم المربع:,المعدن:,المساحة بالكيلوميتر:,الاحتياطي بالطن:,ممثل الحكومة:,نسبة الممثل (%):,نسبة الشركة (%):,العوائد الجليلة:,ارباح الاعمال,المسئولية المجتمعية,الزكاة:,رسوم العقد,حالة الاتفاقية/العقد:,ملف الاتفاقية/العقد:
رضا للهندسة والإنشاءات المحدودة ,10,2022-08-15,2019-08-16,2022-08-15,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
ساندستون للتنمية والاستثمار المحدودة,237,2023-01-10,2020-01-11,2023-01-10,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
المسار العالمية للخدمات والتعدين المحدودة,238,2022-09-25,2019-09-25,2022-09-25,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
لاندمارك للأنشطة المتعددة,239,2023-09-17,2019-09-18,2023-09-17,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
بي إن للتعدين,240,2023-01-30,2020-01-31,2023-01-30,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
صحاري للتعدين المحدودة,241,2025-07-16,2022-07-17,2025-07-16,نهر النيل,بربر,الباوقة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الحامدين للتعدين,242,2022-12-31,2020-01-01,2022-12-31,نهر النيل,بربر,سيدون,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
موناس للتعدين المحدودة,243,2023-02-19,2020-02-20,2023-02-19,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الشاطئ للتعدين المحدودة,244,2022-05-14,2019-05-15,2022-05-14,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الصولج للتعدين المحدودة,245,2023-12-03,2020-12-04,2023-12-03,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
نجير للتنمية المحدودة,246,2024-05-25,2021-05-26,2024-05-25,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
المبرأة للتعدين والاستثمار المحدودة,247,2022-12-26,2021-12-27,2022-12-26,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
إس إم إية اقرو انفستمنت المحدودة,248,2024-06-28,2021-06-29,2024-06-28,نهر النيل,بربر,دارمالي,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
إكسير للتعدين,249,2025-07-16,2022-07-17,2025-07-16,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
جن موشي خواتو للأعمال المتقدمة المحدودة,250,2019-12-16,2017-12-17,2019-12-16,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
الجكوب للتعدين ,251,2027-04-02,2024-04-03,2027-04-02,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
أم عوادة لخدمات الذهب التقليدي,252,2021-01-12,2020-01-13,2021-01-12,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
زكرى لمعالجة مخلفات التعدين,253,2020-04-21,2018-04-22,2020-04-21,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
مزن للتعدين المحدودة,254,2024-04-29,2021-04-30,2024-04-29,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
القويسي للتعدين,255,2019-06-13,2018-06-14,2019-06-13,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
تاناش لمعالجة مخلفات التعدين,256,2020-05-03,2018-05-04,2020-05-03,نهر النيل,ابوحمد,ام سرح,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
سودا قولد للتعدين,257,2024-04-25,2022-04-26,2024-04-25,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
نوش للتعدين,258,2023-08-28,2020-08-29,2023-08-28,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
أعمال سآوى لمعالجة مخلفات التعدين التقليدي,259,2019-05-06,2017-05-07,2019-05-06,نهر النيل,ابوحمد,الشريك,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
ابورقية للتمنية المحدودة (ابوحمد),260,2024-06-26,2021-06-27,2024-06-26,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
سودامين المحدودة,261,2015-07-05,2014-07-06,2015-07-05,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
نامية للتعدين المحدودة,262,2024-06-08,2021-06-09,2024-06-08,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
فضل المولى عرديب للتجارة و الاستثمار المحدودة,263,2024-06-07,2021-06-08,2024-06-07,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
كريبر للحلول المتكاملة المحدودة,264,2024-06-06,2021-06-07,2024-06-06,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
يونميكس للانشطة المتعددة,265,2024-08-03,2021-08-04,2024-08-03,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
اتوبان للانشطة المتعددة المحدودة,266,2024-06-02,2021-06-03,2024-06-02,نهر النيل,ابوحمد,ام سرح,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
حجاجية لتعدين الذهب المحدودة,267,2027-04-17,2024-04-18,2027-04-17,نهر النيل,بربر,الباوقة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
وادي العشار للتعدين المحدودة,268,2024-05-25,2021-05-26,2024-05-25,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
ابولميس للتعدين ,269,2024-05-29,2021-05-30,2024-05-29,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
سعود البرير للتعدين المحدودة,270,2024-11-14,2021-11-14,2024-11-14,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
أعمال المجموعة الدولية للتعدين (2),271,2023-11-04,2020-11-05,2023-11-04,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
نزار عبد الله عثمان للتعدين الصغير,272,2025-05-17,2022-05-18,2025-05-17,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
شيبا للتعدين و التنقيب (2),273,2026-01-07,2023-01-08,2026-01-07,نهر النيل,بربر,العبيدية,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
سكسيد أب للتجارة العامة المحدودة,274,2025-01-22,2022-01-23,2025-01-22,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
قولد نايل  للتعدين,275,2024-09-18,2021-09-19,2024-09-18,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
بتروفيلد للتعدين المحدودة,276,2024-06-19,2021-06-20,2024-06-19,نهر النيل,ابوحمد,ام سرح,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
نبرا للتعدين المحدودة,277,2024-05-22,2021-05-23,2024-05-22,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
ازوم للأنشطة المتعددة المحدودة,278,2024-05-29,2021-05-30,2024-05-29,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
وجدي للتعدين,279,2024-05-03,2021-05-04,2024-05-03,نهر النيل,ابوحمد,الكرو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
هديل للتعدين و معالجة مخلفات التعدين,280,2023-08-19,2020-08-20,2023-08-19,نهر النيل,ابوحمد,الكرو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
سلوفينا للتعدين المحدودة,281,2025-04-24,2022-04-25,2025-04-24,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
شوبان للتعدين المحدودة,282,2025-07-06,2022-07-07,2025-07-06,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الزيداب العالمية المحدودة,283,2025-07-06,2022-07-07,2025-07-06,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
هاس ترانسبورت إل إل سي الممحدودة,284,2025-04-20,2022-04-21,2025-04-20,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الفدرالية للأعمال المتقدمة المحدودة,285,2025-04-04,2022-04-05,2025-04-04,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
شوشناي للتجارة و الخدمات,286,2026-02-25,2023-02-26,2026-02-25,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
مرمر للمشاريع المتطورة المحدودة,287,2025-09-18,2023-09-19,2025-09-18,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
ساوى للأنشطة المتعددة,288,2026-02-27,2023-02-28,2026-02-27,نهر النيل,ابوحمد,الشريك,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
وادي قرضاية للأنشطة المتعددة المحدودة,289,2027-07-05,2024-07-04,2027-07-05,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
كالندر للتعدين,290,2020-01-09,2018-01-10,2020-01-09,نهر النيل,ابوحمد,ابوحمد,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الهصور للتعدين - (كدرمة),291,2025-07-16,2022-07-16,2025-07-16,الشمالية,دلقو,كدرمة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
دوسة للأنشطة المتعددة,292,2025-12-31,2023-01-01,2025-12-31,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
ديتاسي للتعدين,293,2024-01-30,2023-01-31,2024-01-30,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الهصور للتعدين - (الخناق),294,2025-07-16,2022-07-16,2025-07-16,الشمالية,وادي حلفا,الخناق,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
رويال للأعمال المتقدمة,295,2022-10-15,2019-10-16,2022-10-15,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
أعمال المجموعة الدولية للتعدين  - صواردة,296,2023-02-02,2020-02-03,2023-02-02,الشمالية,وادي حلفا,صواردة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
الأنفال للتعدين,297,2023-02-10,2020-02-11,2023-02-10,الشمالية,وادي حلفا,الخناق,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
الإعتماد للصناعات الحديدية المحدودة - (القعب),298,2022-11-25,2019-11-26,2022-11-25,الشمالية,دنقلا,القعب,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
مدن الذهب السبع للتعدين,299,2024-06-02,2021-06-03,2024-06-02,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
الفطيم للأعمال المتقدمة المحدودة,300,2024-05-03,2021-05-04,2024-05-03,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
برخيا للأعمال المتقدمة المحدودة,301,2024-06-22,2021-06-22,2024-06-22,الشمالية,الدبة,الدبة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
أعمال الناير للتعدين,302,2024-10-11,2021-10-12,2024-10-11,الشمالية,الدبة,الدبة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
جمعية نور الهدى التجارية المتعددة الاغراض,303,2024-11-15,2021-11-16,2024-11-15,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
أعمال ود الخير للتعدين,304,2025-06-06,2022-06-07,2025-06-06,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
سبدو للأنشطة المتعددة,305,2025-04-16,2022-04-17,2025-04-16,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
أبو حنيفة للنقل و التجارة المحدودة,306,2025-09-28,2022-09-29,2025-09-28,الشمالية,وادي حلفا,الخناق,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
ثرو الإستشارية المحدودة,307,2025-06-20,2022-06-21,2025-06-20,الشمالية,وادي حلفا,الخناق,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
أس ام تي للمشاريع المتطورة المحدودة,308,2024-06-02,2021-06-03,2024-06-02,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
عادل ميرغني الرفاعي,309,2025-07-29,2023-07-30,2025-07-29,الشمالية,دلقو,شدة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
وي لينك للانشطة المتعددة (معالجة جيرة),310,2025-03-19,2023-03-19,2025-03-19,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ساري,
المنظور البعيد للأنشطة المتعددة المحدودة,311,2024-12-12,2021-12-13,2024-12-12,الشمالية,وادي حلفا,الخناق,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
فري بورت للتعدين,312,2024-08-14,2021-08-15,2024-08-14,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
تونجل للتعدين (2),313,2025-12-25,2023-12-26,2025-12-25,الشمالية,دنقلا,القعب,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
المؤسسة التعاونية ام أيه و شركة أم أيه جنرال سيرفس المحدودة,314,2024-09-01,2021-09-02,2024-09-01,الشمالية,وادي حلفا,المثلث,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
لازارا  للأعمال المتقدمة المحدودة,315,2025-06-24,2022-06-25,2025-06-24,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
فرك الكبرى للمعادن و التجارة و الإستثمار,316,2025-06-08,2022-06-09,2025-06-08,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
تونجل للتعدين (1),317,2025-08-06,2022-08-07,2025-08-06,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
ام ضرابة للإستثمارر النقل المحدودة,321,2025-08-24,2022-08-25,2025-08-24,الشمالية,الدبة,الدبة,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
هايتند للانشطة المحدودة,318,2025-10-19,2022-10-20,2025-10-19,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,ملغية,
شيبا للتعدين و التنقيب (1),319,2024-08-03,2021-08-04,2024-08-03,الشمالية,دلقو,دلقو,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
وضاح صالح للتعدين,320,2025-12-28,2022-12-29,2025-12-28,الشمالية,وادي حلفا,حلفا,0,ذهب,0,0,0,0,0,10,12,1,2.5,0,غير ساري,
