الهدف الرئيسي,الهدف الفرعي,الادارة المسؤولة,الانشطة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,الحد من التعديات علي الشركات العاملة في القطاع 
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,تعزيز الاحاطة علي حركة الذهب المنتج
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,إسناد الشركة في معالجة القضايا التي تعيق سير عملها الرقابي والاشرافي
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,رصد وتقييم المخاطر والمهددات التي تواجه قطاع التعدين 
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط, اعداد تقارير الاداء الدورية 
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,استلام معوقات الاداء من الادارات  العامة  ومراجعتها وتنقيحها ووضع الحلول اللازمة لها
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,استلام تقارير الاداء من الادارات العامة وتقييمها
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,تحليل التقارير وتحديد الانحرافات  الخاصة بتنفيذ خطة الاداء للعام 2025م
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,إعداد وصياغة الخطة العامة للشركة للعام 2026م
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,جمع إحصائيات الانتاج  والايرادات مؤشرات الرقابة لمختلف قطاعات الشركة
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,دراسة قياس مستوي الرضا الداخلي والخارجي
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,التنبؤات الاحصائية للانشطة التعدينية
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,تصميم الاستبانات وتحليلها
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,النشرة الاحصائية السنوية (مقارنات +تحليل)
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تحسين  نظام عمليات الشركة حسب وضع هيكل الطوارئ المتبع
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,مراجعة العمليات وتطويرها حسب الوضع الحالي
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,مراجعة  وتحليل مؤشرات قياس الاداء
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تحليل حالات عدم المطابقة المكتشفة
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تحليل شكاوى ومقترحات العملاء
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تنفيذ مخرجات اجتماع مراجعه  الادارة
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تفعيل فرق التحسين بالادارات
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,التدقيق الداخلي والخارجي للنظام
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,نشر ثقافة الجودة لجميع العاملين
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,ضبط الوثائق الداخلية للنظام 
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,حصر الاحتياجات التقنية والمعدات المطلوبة لإكمال البنية التحتية للشبكة 
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,تكملة تحديد المواصفات المطلوبة للأجهزة 
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,شراء المعدات والاجهزة المطلوبة
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,تأسيس موقع درء الكوارث
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,تقديم الدعم الفني والتقني 
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,التكامل مع نظام ايزو 270001 (ادارة امن المعلومات)
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,حماية الشبكة من خلال تشغيل اجهزة الجدار الناري fire wall
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,تفعيل مضادات الفيروسات
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,حماية التطبيقات التقنية للشركة
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,حماية وتأمين الموقع الالكتروني
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تكامل الانظمة الفنية (تكامل نظام المصفاة – نظام الصادر – الادارة المالية )
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير الانظمة القياسية ( نظام الادارة المالية + انظمة الشؤون الادارية)
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير التقارير الذكية ( مالية + ادارية + تقارير عامة)
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير نظام تقارير الاداء والخطة 
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير الموقع الالكتروني ( بحوث تخدم اهداف الشركة + ربط الموردين ومذودي الخدمات والعملاء ..الخ)
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير نظام الأرشفة والتقارير وبيانات الخاصة بشركات الامتياز المنتجة والمخلفات
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,تقديم الدعم اللوجستي والإداري للمُشرفين الميدانيين
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,إجراءات تأمين مراحل إنتاج الذهب
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,تأهيل وتطوير المشرفين الميدانيين
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,تحديث دليل المُشرف الميداني
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,تنفيذ دورات تدريبية متخصصة
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,المشاركة في المؤتمرات والورش الخاصة بقطاع التعدين
إدارة وتطوير نظم وأساليب العمل بالشركة,إنشاء قاعدة بيانات متكاملة لانشطة التعدين التقليدي ,التعدين التقليدي,إنشاء قاعدة بيانات للأشطة داخل الأسواق
إدارة وتطوير نظم وأساليب العمل بالشركة,إنشاء قاعدة بيانات متكاملة لانشطة التعدين التقليدي ,التعدين التقليدي,إنشاء قاعدة بيانات للحفر والآبار
إدارة وتطوير نظم وأساليب العمل بالشركة,إنشاء قاعدة بيانات متكاملة لانشطة التعدين التقليدي ,التعدين التقليدي,إنشاء قاعدة بيانات للمعدنين
إدارة وتطوير نظم وأساليب العمل بالشركة,إنشاء قاعدة بيانات متكاملة لانشطة التعدين التقليدي ,التعدين التقليدي,تحليل البيانات وتصنيفها 
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وحوكمة إجراءات المكتب التنفيذي للشركة ,المكتب التنفيذي,إحكام العمل الإداري وأرشفة كل المُستندات
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وحوكمة إجراءات المكتب التنفيذي للشركة ,المكتب التنفيذي, متابعة تتنفيذ كل القرارات  وأعمال اللجان والمكاتبات الصادرة من المدير العام
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وحوكمة إجراءات المكتب التنفيذي للشركة ,المكتب التنفيذي,ضبط وتحسين الإجراءات والمعاملات
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وحوكمة إجراءات المكتب التنفيذي للشركة ,المكتب التنفيذي,جدولة ومتابعة تنفيذ أنشطة السيد/ المدير العام 
إدارة وتطوير نظم وأساليب العمل بالشركة,استخدام تقنيات حديثة وتطوير نهج الدعم الفني لشركات التعدين الصغير ,التعدين الصغبر,شهادات برامج العمل 
إدارة وتطوير نظم وأساليب العمل بالشركة,استخدام تقنيات حديثة وتطوير نهج الدعم الفني لشركات التعدين الصغير ,التعدين الصغبر,الالتزام بتسليم وضبط برامج العمل 
إدارة وتطوير نظم وأساليب العمل بالشركة,استخدام تقنيات حديثة وتطوير نهج الدعم الفني لشركات التعدين الصغير ,التعدين الصغبر,شهادات نقل الملكية والشراكة 
إدارة وتطوير نظم وأساليب العمل بالشركة,استخدام تقنيات حديثة وتطوير نهج الدعم الفني لشركات التعدين الصغير ,التعدين الصغبر,فحص احداثيات لمربعات جديد وتأكيد اصدار إفادات فنية 
إدارة وتطوير نظم وأساليب العمل بالشركة,استخدام تقنيات حديثة وتطوير نهج الدعم الفني لشركات التعدين الصغير ,التعدين الصغبر,إجراءات ومعاملات شركات 
إدارة وتطوير نظم وأساليب العمل بالشركة,استخدام تقنيات حديثة وتطوير نهج الدعم الفني لشركات التعدين الصغير ,التعدين الصغبر,استكمال حصر البيانات في البوابة الإلكترونية + GIS
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة المخاطربالشركة السودانية وفق متطلبات نظام الISO 31001,المخاطر,التكامل مع نظام الايزو
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة المخاطربالشركة السودانية وفق متطلبات نظام الISO 31002,المخاطر,حصر وتحديد وتحليل وتقييم المخاطر بالشركة
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة المخاطربالشركة السودانية وفق متطلبات نظام الISO 31003,المخاطر,تطبيق استراتيجية المخاطر
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة المخاطربالشركة السودانية وفق متطلبات نظام الISO 31004,المخاطر,الورش (ورش الاقسام + الورشة المركزية)
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة المخاطربالشركة السودانية وفق متطلبات نظام الISO 31005,المخاطر,المأموريات  للمكاتب الولائية 
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة المخاطربالشركة السودانية وفق متطلبات نظام الISO 31006,المخاطر,ورش مع داخلية وخارجية
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة  وتطوير الخدمات والدعم اللوجستي للشركة,الشؤون الادارية والبشرية,تنفيذ عمليات ادارة التشغيل والدعم الفني للرئاسة الشركة ومكاتب الولايات
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة  وتطوير الخدمات والدعم اللوجستي للشركة,الشؤون الادارية والبشرية,توفير الوقود اللازم لتنفيذ المهام الاهداف التشغيلية للشركة للعام 2025م
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة  وتطوير الخدمات والدعم اللوجستي للشركة,الشؤون الادارية والبشرية,تنفيذ عمليات الخدمات الداخلية 
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة  وتطوير الخدمات والدعم اللوجستي للشركة,الشؤون الادارية والبشرية,إدارة محركات الشركة والاجراءات الخاصة بتوفير المركبات 
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة  وتطوير الخدمات والدعم اللوجستي للشركة,الشؤون الادارية والبشرية,توفير الدعم اللوجستي  لرئاسة الشركة والمكاتب الولائية
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وتطويركفاءة المورد البشري للشركة,الشؤون الادارية والبشرية,تحديد الإحتياج الفعلي من المورد البشري للشركة كماً ونوعاً وإعداد هيكل الطوارئ التنظيمي للشركة 
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وتطويركفاءة المورد البشري للشركة,الشؤون الادارية والبشرية,الإشراف علي ملفات وإجراءات شؤون العاملين
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وتطويركفاءة المورد البشري للشركة,الشؤون الادارية والبشرية,الإيفاء بإستحقاقات وتعويضات العاملين 
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وتطويركفاءة المورد البشري للشركة,الشؤون الادارية والبشرية,الإشراف علي ملفات وإجراءات شؤون العاملين بالتعدين التقليدي
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وتطويركفاءة المورد البشري للشركة,الشؤون الادارية والبشرية,تدريب وتطوير كفاءة المورد البشري للشركة
إدارة وتطوير نظم وأساليب العمل بالشركة,ادارة وتطويركفاءة المورد البشري للشركة,الشؤون الادارية والبشرية,ادارة كيف
تعزيز دور المسؤولية المجتمعية والرضا المجتمعي,توجيه أنشطة المسؤولية المجتمعية لتقليل الإحتكاكات السلبية بين المجتمعات المحلية وشركات التعدين ,المسؤولية المجتمعية,الإشراف على المشروعات فى المناطق الامنة غير متأثرة بالحرب 
تعزيز دور المسؤولية المجتمعية والرضا المجتمعي,توجيه أنشطة المسؤولية المجتمعية لتقليل الإحتكاكات السلبية بين المجتمعات المحلية وشركات التعدين ,المسؤولية المجتمعية,إعادة تشغيل المشاريع المتوقفة فى المناطق المتأثرة بالحرب 
تعزيز دور المسؤولية المجتمعية والرضا المجتمعي,توجيه أنشطة المسؤولية المجتمعية لتقليل الإحتكاكات السلبية بين المجتمعات المحلية وشركات التعدين ,المسؤولية المجتمعية,عمل بروفايل لكل مشروع-افلام وثائقية
تعزيز دور المسؤولية المجتمعية والرضا المجتمعي,توجيه أنشطة المسؤولية المجتمعية لتقليل الإحتكاكات السلبية بين المجتمعات المحلية وشركات التعدين ,المسؤولية المجتمعية,قياس اثر الرضا المجتمعي
تعزيز دور المسؤولية المجتمعية والرضا المجتمعي,ترسيخ الوعى فى أهمية أن تصرف أموال المسؤولية المجتمعية فى بنود المشروعات و تعزيز دور المسؤولية المجتمعية,المسؤولية المجتمعية,تعزيز  الإرشاد المجتمعى من خلال (تقوية هياكل المجتمعات قاعدياً ورفع الوعى لتنفيذ موجهات القرار (90)
تعزيز دور المسؤولية المجتمعية والرضا المجتمعي,ترسيخ الوعى فى أهمية أن تصرف أموال المسؤولية المجتمعية فى بنود المشروعات و تعزيز دور المسؤولية المجتمعية,المسؤولية المجتمعية,بناء قاعدة بيانات إلكترونية تشمل الخرائط والمشروعات 
تعزيز دور المسؤولية المجتمعية والرضا المجتمعي,ترسيخ الوعى فى أهمية أن تصرف أموال المسؤولية المجتمعية فى بنود المشروعات و تعزيز دور المسؤولية المجتمعية,المسؤولية المجتمعية,تنفيذ مشروعات الشركة  عبر شراكات  مع الولايات ونقل التجارب .(مشروع المنح الدارسية) 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إبراز أنشطة الشركة بالوسائل العالمية المختلفة,ادارة الاعلام,تغطية كافة مناشط الشركة بالوسائل الإعلامية المختلفة  من اذاعة وصحافة وتلفزيون وغيرها
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إبراز أنشطة الشركة بالوسائل العالمية المختلفة,ادارة الاعلام,الاستفادة من الأدوات الإعلانية الميدانية لابراز أنشطة وأهداف الشركة
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إبراز أنشطة الشركة بالوسائل العالمية المختلفة,ادارة الاعلام,أنتاج التقارير الخبرية المقرءة والمرئية والمسموعة في إطار جانب التغطيات
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إستخدام الإنتاج المرئي والمسموع والمقروء بما يخدم أغراض الشركة بما فيها عمليات التثقيف والارشاد والتوعية,ادارة الاعلام,إنتاج الدراما والمسابقات والفديوهات المرئية لعمليات الارشاد والتثقيف والتوعية
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إستخدام الإنتاج المرئي والمسموع والمقروء بما يخدم أغراض الشركة بما فيها عمليات التثقيف والارشاد والتوعية,ادارة الاعلام,إنتاج الافلام الوثائقية التي تخدم أغراض الشركة 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إستخدام الإنتاج المرئي والمسموع والمقروء بما يخدم أغراض الشركة بما فيها عمليات التثقيف والارشاد والتوعية,ادارة الاعلام,إصدار صحيفة ورقية ورقمية تبرز أنشطة الشركة وتسهم في عمليات التوعية والتثقيف والارشاد.
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إستخدام الإنتاج المرئي والمسموع والمقروء بما يخدم أغراض الشركة بما فيها عمليات التثقيف والارشاد والتوعية,ادارة الاعلام,إنتاج مجلة معادن السودان 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إستخدام الإنتاج المرئي والمسموع والمقروء بما يخدم أغراض الشركة بما فيها عمليات التثقيف والارشاد والتوعية,ادارة الاعلام,إنتاج دراما وبرامج ومشاعل إذاعية تسهم في التثقيف والارشاد والتوعية باللهجات المحلية
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إرساء جسور التواصل مع الجهات ذات الصلة لتحقيق أهداف الشركة,ادارة الاعلام,خلق علاقات مع الاجهزة الإعلامية المختلفة لتخقيق أهداف الشركة
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إرساء جسور التواصل مع الجهات ذات الصلة لتحقيق أهداف الشركة,ادارة الاعلام,التواصل المباشر مع الإعلاميين لضمان إنسياب انشطة الشركة في وسائل الاعلام المختلفة
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,إرساء جسور التواصل مع الجهات ذات الصلة لتحقيق أهداف الشركة,ادارة الاعلام,عقد ورش عمل تثقيفية للاعلاميين لرفع الحس الثقافي بانشطة التعدين.
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,الرصد الدوري والاستفادة من الفضاء الالكتروني بأشكاله المختلفة وتوظيفه بما يخدم أهداف الشركة,ادارة الاعلام,تفعيل وتطوير الموقع الالكتروني بما أغراض الشركة
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,الرصد الدوري والاستفادة من الفضاء الالكتروني بأشكاله المختلفة وتوظيفه بما يخدم أهداف الشركة,ادارة الاعلام,رصد دوري وتصنيف الاخبار 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,الرصد الدوري والاستفادة من الفضاء الالكتروني بأشكاله المختلفة وتوظيفه بما يخدم أهداف الشركة,ادارة الاعلام,تفعيل قناة الواتس أب وضمان إنسياب المعلومة فيها والاستفادة منها 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,الرصد الدوري والاستفادة من الفضاء الالكتروني بأشكاله المختلفة وتوظيفه بما يخدم أهداف الشركة,ادارة الاعلام,تطوير صفحة الفيس بوك وزيادة عدد المتابعين بالاضافة لتوثيقها 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,الرصد الدوري والاستفادة من الفضاء الالكتروني بأشكاله المختلفة وتوظيفه بما يخدم أهداف الشركة,ادارة الاعلام,تفعيل حساب الشركة في منصة إكس
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,الرصد الدوري والاستفادة من الفضاء الالكتروني بأشكاله المختلفة وتوظيفه بما يخدم أهداف الشركة,ادارة الاعلام,إنشاء حساب في التيك توك لنشر فيديوهات الشركة من تغطيات وفيديوهات توعوية 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,الرصد الدوري والاستفادة من الفضاء الالكتروني بأشكاله المختلفة وتوظيفه بما يخدم أهداف الشركة,ادارة الاعلام,تفعيل قناة الشركة في اليوتيوب 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,تنفيذ برامج وأنشطة متكاملة لخلق علاقات داخلية وخارجية,ادارة الاعلام,ارساء جسور تواصل في الإطار الداخلي لتمتنين أواصر الثقة بين العاملين 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,تنفيذ برامج وأنشطة متكاملة لخلق علاقات داخلية وخارجية,ادارة الاعلام,إكمال إجراءات السفر من تذاكر وتأشيرات وخلافها
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,تنفيذ برامج وأنشطة متكاملة لخلق علاقات داخلية وخارجية,ادارة الاعلام,تنسيق لقاءات المدير العام 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,تنفيذ برامج وأنشطة متكاملة لخلق علاقات داخلية وخارجية,ادارة الاعلام,تنسيق وترتيب مشاركات الشركة في الفعاليات المختلفة 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,توحيد الهوية الاعلامية للشركة لدى الجهات ذات الصلة,ادارة الاعلام,ارساء جسور تواصل في الإطار الداخلي لتمتنين أواصر الثقة بين العاملين 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,توحيد الهوية الاعلامية للشركة لدى الجهات ذات الصلة,ادارة الاعلام,إكمال إجراءات السفر من تذاكر وتأشيرات وخلافها
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,توحيد الهوية الاعلامية للشركة لدى الجهات ذات الصلة,ادارة الاعلام,تنسيق لقاءات المدير العام 
التثقيف والتوعية والارشاد المجتمعي لخلق رأي عام  داعم لقطاع التعدين,توحيد الهوية الاعلامية للشركة لدى الجهات ذات الصلة,ادارة الاعلام,تنسيق وترتيب مشاركات الشركة في الفعاليات المختلفة 
